team,wins,losses,ties,games,win_pct,owp,oowp,qualifying_wins,qualifying_losses,qualifying_ties,partial_wins,npi_rating
Trinity College (Connecticut),1,0,0,1,1.0,0.0,0.0,1,0,0,0,47.93095551103569
University of Wisconsin-Stevens Point,2,1,0,3,0.6666666666666666,33.33333333333333,58.333333333333336,2,1,0,0,47.88504778148057
Alfred State College,1,1,0,2,0.5,100.0,50.0,1,1,0,0,47.84434757334298
Hamline University,1,1,1,3,0.5,50.0,56.11111111111111,1,1,1,0,47.83050097781241
Arcadia University,1,1,0,2,0.5,50.0,50.0,1,1,0,0,47.78236797001252
Linfield University,0,0,2,2,0.5,0.0,100.0,0,0,2,0,47.77773520845721
Penn State Harrisburg,1,1,1,3,0.5,50.0,50.0,1,1,1,0,47.745846304420674
George Fox University,0,1,1,2,0.25,100.0,50.0,0,1,1,0,47.67866138899632
"Buffalo State, State University of New York",1,2,0,3,0.3333333333333333,60.0,45.0,1,2,0,0,47.63503312290837
University of the Ozarks (Arkansas),1,1,0,2,0.5,33.33333333333333,50.0,1,1,0,0,47.606915783972205
Otterbein University,0,1,0,1,0.0,100.0,66.66666666666666,0,1,0,0,47.567128558877386
Plattsburgh State University of New York,1,2,0,3,0.3333333333333333,37.5,47.22222222222222,1,2,0,0,47.53363342351738
Webster University,1,1,0,2,0.5,66.66666666666666,41.666666666666664,1,1,0,0,47.498186664379105
Keene State College,1,2,0,3,0.3333333333333333,50.0,41.666666666666664,1,1,0,0,47.4067772365393
North Central College,1,2,0,3,0.3333333333333333,100.0,33.333333333333336,1,2,0,0,47.401034035017084
Salve Regina University,0,1,1,2,0.25,50.0,50.0,0,1,1,0,47.3497796489422
"Pennsylvania State Univ. Erie, the Behrend College",0,1,1,2,0.25,66.66666666666666,66.66666666666666,0,1,1,0,47.32843050292962
East Texas Baptist University,0,1,1,2,0.25,100.0,25.0,0,1,1,0,47.224229737516225
"University of California, Santa Cruz",0,1,1,2,0.25,100.0,25.0,0,1,1,0,47.224229737516225
Adrian College,2,1,0,3,0.6666666666666666,25.0,55.55555555555555,2,1,0,0,47.19576287703637
University of Northwestern-St. Paul,0,0,1,1,0.5,0.0,50.0,0,0,1,0,47.0539386322485
Carroll University (Wisconsin),0,1,1,2,0.25,100.0,25.0,0,1,1,0,47.03936273248459
Loras College,0,0,1,1,0.5,50.0,75.0,0,0,1,0,46.99719440370121
Albion College,1,1,0,2,0.5,33.33333333333333,64.58333333333333,1,1,0,0,46.96756126614416
Simmons University,1,1,0,2,0.5,50.0,41.666666666666664,1,1,0,0,46.78638789283215
Immaculata University,0,0,1,1,0.5,0.0,100.0,0,0,1,0,46.7131587583093
William Paterson University of New Jersey,1,1,0,2,0.5,25.0,37.5,1,1,0,0,46.70931768303434
Heidelberg University,0,1,1,2,0.25,75.0,37.5,0,1,1,0,46.701115671907644
Southwestern University (Texas),1,1,0,2,0.5,25.0,62.5,1,1,0,0,46.68711757982393
Mary Baldwin University,1,1,0,2,0.5,50.0,50.0,1,1,0,0,46.611920801449024
Eastern Connecticut State University,1,0,1,2,0.75,0.0,62.5,1,0,1,0,46.556261726468406
Grove City College,0,1,1,2,0.25,100.0,8.333333333333332,0,1,1,0,46.555618690232336
Denison University,1,1,0,2,0.5,0.0,75.0,1,1,0,0,46.51452813366183
University of Dubuque,0,0,2,2,0.5,0.0,75.0,0,0,2,0,46.45206686902987
Earlham College,1,2,0,3,0.3333333333333333,60.0,41.666666666666664,1,2,0,0,46.36897541018076
John Carroll University,0,1,1,2,0.25,66.66666666666666,45.83333333333333,0,1,1,0,46.36284386241566
Bethel University (Minnesota),0,1,1,2,0.25,50.0,41.66666666666667,0,1,1,0,46.31730753010792
University of Wisconsin-River Falls,2,1,0,3,0.6666666666666666,0.0,74.44444444444444,2,1,0,0,46.31464056475489
Pacific University (Oregon),0,1,0,1,0.0,100.0,50.0,0,1,0,0,46.274736491274645
The College of St. Scholastica,0,1,1,2,0.25,75.0,50.0,0,1,1,0,46.24655235792188
Utica University,1,1,0,2,0.5,50.0,50.0,1,1,0,0,46.18681272098376
Monmouth College (Illinois),1,2,0,3,0.3333333333333333,100.0,27.777777777777775,1,1,0,0,46.080613157775126
